"year","local_code","local_name","vehicle_type","maker","model","national_subsidy_manwon","local_subsidy_manwon","total_subsidy_manwon","source"
"2026","4150","이천시","일반승용","테슬라코리아","Model Y Premium RWD","170","85","255","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4150","이천시","일반승용","테슬라코리아","Model Y Premium Long Range","210","105","315","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4155","안성시","일반승용","테슬라코리아","Model 3 Performance","200","120","320","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4155","안성시","일반승용","테슬라코리아","Model 3 RWD","168","100","268","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4155","안성시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","252","672","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4155","안성시","일반승용","테슬라코리아","Model Y Premium RWD","170","102","272","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4155","안성시","일반승용","테슬라코리아","Model Y Premium Long Range","210","126","336","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4157","김포시","일반승용","테슬라코리아","Model 3 Performance","200","80","280","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4157","김포시","일반승용","테슬라코리아","Model 3 RWD","168","67","235","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4157","김포시","일반승용","테슬라코리아","Model 3 Premium Long Range RWD","420","168","588","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4157","김포시","일반승용","테슬라코리아","Model Y Premium RWD","170","68","238","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4157","김포시","일반승용","테슬라코리아","Model Y Premium Long Range","210","84","294","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4159","화성시","일반승용","테슬라코리아","Model 3 Performance","200","66","266","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
"2026","4159","화성시","일반승용","테슬라코리아","Model 3 RWD","168","56","224","https://ev.or.kr/nportal/buySupprt/psPopupLocalCarModelPrice.do"
